signature,timestamp,wallet,amount,isBuy,protocol
66oDawJ1iWjvy6XKYbWNxnWinAFFZVzYUi75nuBrbW1SwoAagwanNi66KQSe3aaMxp6163Uw3SkiVjQtCGadcvTN,2025-07-07T10:38:28.000Z,7rhxnLV8C77o6d8oz26AgK8x8m5ePsdeRawjqvojbjnQ,84.80002219990183,1,Orca
5UGX5TzSp6rrWzYdWHjQAR4W5QmZGPntRsrJpum9kSxGCyM9LbF4A772bW4ffrnYhsLjdt76XvXFonvEugiGiFL4,2025-07-07T10:38:28.000Z,4QbWA5MChbahM5GqstbfHfbE3HuYX1grg4VB5MhmUcXr,52.41703939711757,1,Orca
SimulatedTx3kwg0c0jge4,2025-07-07T12:42:57.837Z,Gq18K7y1Qa11GRPCgUYJj6RRx3aDHjcsvoyNxmtLydSc,75.67851097701485,0,Orca
SimulatedTxveayes3sw0b,2025-07-07T12:43:02.851Z,DBG9KbAfQ8vw63ZWWn8DN8ALDs3RDgkV3ipfexXFFVdM,97.80149130780306,1,Jupiter
SimulatedTx1dgaeyo31mt,2025-07-07T12:43:07.855Z,81b4rUtknV4Hai13hpEho3k7zfUh6VjGbSZqHmc8kCFi,54.13980164679118,1,Jupiter
SimulatedTxmek5g19yoz9,2025-07-07T12:43:12.856Z,4CtCy7m9RVdmsBk9n4U2eqfJYaBVhfCiVrFSvEb8hLqD,8.989950511085333,0,Raydium
SimulatedTx4s35q7hhc07,2025-07-07T12:43:17.859Z,4fxtsv3dznjjchwAGBM5nnhLYcCTiHXVTnLVFUz5j2dy,54.57758967485906,1,Jupiter
SimulatedTxy1qvbc6iyu,2025-07-07T12:43:22.864Z,EdFSTtwWhnZ6ag51mZN6YMKNuExvHav5CDUDktGA9DJ1,82.07130693681792,1,Raydium
SimulatedTx53yxwdc5sur,2025-07-07T12:43:27.875Z,GnnL24JKSQdrBNGrnLrdkBWsQbBKU7WJrCvGWHBRRyMw,34.13325695439633,1,Raydium
SimulatedTxvw4hrghbisb,2025-07-07T12:43:32.881Z,8xTvDm9GQTwjpKsUX1yFf7YCTMhewUqqyk8FuVTVxWYB,22.368648998861374,1,Jupiter
SimulatedTx3lwjgtgtu7y,2025-07-07T12:43:37.892Z,9P6M3p1drts5GH7QFAbZcbFX7G8GvEBVAcasJycsKwNb,41.198709863536955,1,Orca
SimulatedTxlut9eqjb35,2025-07-07T12:43:42.894Z,2VK6LMMjP8mzkAjjqCMSy9F7GcttP3b7mFtwBR6Pvsj3,76.59326457821194,0,Jupiter
SimulatedTxh4zkpkex4wh,2025-07-07T12:43:47.905Z,6XvrzVD67XHcCM3KT6JQRM5VhxQPqvCTCP5PLvP7bns8,57.33274980089376,1,Jupiter
SimulatedTxquizokj58b,2025-07-07T12:43:52.918Z,CEZGMBujMSkNqdqnT82fm4SXdzWfCkWqGboXLWGB2KQj,12.445493409753627,0,Orca
SimulatedTxpcejc4dp7l,2025-07-07T12:43:57.926Z,EWMh2zrkFw5bSbmz6Xia7YE5jm36nd37PAd6Ex8NRKjp,28.198696013634827,0,Jupiter
SimulatedTxg9wenb8kz3d,2025-07-07T12:44:02.931Z,FDZzJQLLBYDwUzfcSxLX5AmpaB4QryyGaYfo5wrYhteN,60.15668676967601,1,Orca
